DBN,School Name, Average Score SAT Math,Average Score SAT Reading and Writing,4-Year Graduation Rate,Average Regents Score - English , Average Regents Score - Algebra I 
01M292,Orchard Collegiate Academy,447.9,426.3,65.80%,76.5,67.1
01M448,University Neighborhood High School,495.2,456.8,89.70%,73.1,72.5
01M450,East Side Community School,497.1,521.2,92.00%,79.6,
01M509,Marta Valle High School,444.8,474.5,74.10%,67.4,59.4
01M539,"New Explorations into Science, Technology and Math",655.1,617.1,97.30%,88.1,78.2
01M696,Bard High School Early College,612.2,633.9,99.10%,89.4,79.6
02M047,47 The American Sign Language and English Secondar,459,461.6,91.40%,76,69.3
02M135,The Urban Assembly School for Emergency Management,452.5,469.7,73.90%,74,67
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,431.6,437.7,82.70%,66.1,64.2
02M260,M.S. 260 Clinton School Writers & Artists,,,,85.2,80.3
02M280,Manhattan Early College School for Advertising,,,,75.1,67.4
02M282,Urban Assembly Maker Academy,,,,73.1,63.7
02M288,Food and Finance High School,465.9,482.9,90.80%,79.3,64.5
02M294,Essex Street Academy,443.7,460.3,82.50%,66.9,
02M296,High School of Hospitality Management,440.5,452.5,69.80%,72.8,67.7
02M298,Pace High School,504.6,511.8,85.90%,81.8,68.6
02M300,"Urban Assembly School of Design and Construction,",469.5,453.4,58.70%,77.5,63.8
02M303,"Facing History School, The",426.8,446.4,75.90%,62.6,
02M305,"Urban Assembly Academy of Government and Law, The",455.8,470.8,83.60%,73.7,70.9
02M308,Lower Manhattan Arts Academy,431.1,465.8,80.50%,75.7,67.5
02M316,"Urban Assembly School of Business for Young Women,",423.5,453,75.00%,76.5,56.3
02M374,Gramercy Arts High School,461.9,480.5,81.30%,74.6,68.2
02M376,NYC iSchool,545.2,566.3,98.10%,87.2,81.9
02M392,MANHATTAN BUSINESS ACADEMY,454.8,474.2,85.60%,76.6,64.5
02M393,Business Of Sports School,443,448.8,81.60%,73.6,61.9
02M399,The High School For Language And Diplomacy,490.8,499.6,81.00%,71.9,67.5
02M400,High School for Environmental Studies,521.7,516.1,79.90%,76.3,65.9
02M407,Institute for Collaborative Education,540.9,592.1,86.70%,83.3,
02M408,Professional Performing Arts High School,521.8,556.3,92.80%,89,79.9
02M411,Baruch College Campus High School,612.5,585.6,100.00%,91,81.7
02M412,N.Y.C. Lab School for Collaborative Studies,619.8,591.3,97.40%,87.6,81.6
02M413,School of the Future High School,534.9,551.4,99.00%,87.6,
02M414,N.Y.C. Museum School,568.6,577,100.00%,87.7,78.5
02M416,Eleanor Roosevelt High School,687.9,659.3,100.00%,91.7,85.9
02M418,Millennium High School,621,598.4,99.30%,92.1,85.1
02M419,Landmark High School,408.6,432.8,65.30%,74.4,
02M420,High School for Health Professions and Human Servi,512.6,504.2,93.90%,81,73.7
02M422,Quest to Learn,516,522.3,83.50%,80.1,66.5
02M425,Leadership and Public Service High School,446,473.8,70.10%,70.9,65.3
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,404.4,403.4,51.50%,64,64.5
02M437,Hudson High School of Learning Technologies,426.8,443.2,64.20%,70.2,63.4
02M438,International High School at Union Square,444,398.1,66.30%,55.4,63.5
02M439,Manhattan Village Academy,545.4,525.5,98.90%,86.8,80.4
02M449,Vanguard High School,434.9,447.9,73.60%,72.8,
02M459,Manhattan International High School,411,414.9,73.60%,65.6,
02M475,Stuyvesant High School,759.4,700.1,98.40%,94,93.6
02M489,High School of Economics and Finance,526.5,510.6,89.80%,81.3,70.3
02M500,Unity Center for Urban Technologies,451.3,467.5,76.70%,72.2,66.1
02M507,Urban Assembly Gateway School for Technology,463.9,471.9,87.40%,73.7,70.4
02M519,Talent Unlimited High School,517.1,531.3,96.80%,87,74.2
02M520,Murry Bergtraum High School for Business Careers,492.4,519.3,54.40%,65.7,60
02M529,Jacqueline Kennedy Onassis High School,462.3,473.7,64.30%,69.7,65.1
02M531,Repertory Company High School for Theatre Arts,466.3,490.2,96.20%,78.9,70.4
02M533,Union Square Academy for Health Sciences,479.2,476.1,86.80%,67.9,65.6
02M534,Harvest Collegiate High School,453.6,491.3,86.60%,79.3,
02M542,Manhattan Bridges High School,467.2,451.6,84.60%,74.6,74
02M543,New Design High School,442.6,461,91.70%,80.5,65.6
02M545,High School for Dual Language and Asian Studies,644.9,543.5,100.00%,88.8,88.3
02M546,Academy for Software Engineering,504.5,501.6,85.20%,77.9,70.7
02M551,Urban Assembly New York Harbor School,473.8,493.9,76.70%,80,69.5
02M580,Richard R. Green High School of Teaching,455.5,473.9,67.50%,75.5,71.3
02M600,The High School of Fashion Industries,473.6,493.5,93.00%,82.1,70.2
02M615,Chelsea Career and Technical Education High School,486.9,482.2,74.70%,77.9,75.1
02M630,Art and Design High School,485.6,511.9,84.70%,81.1,74.5
02M655,Life Sciences Secondary School,454.3,467.8,59.80%,66.9,63.8
03M299,The Maxine Greene HS for Imaginative Inquiry,443.3,459.2,66.70%,68.1,61.4
03M307,"Urban Assembly School for Media Studies, The",420.4,429,77.10%,74.9,67.3
03M402,The Urban Assembly School for Green Careers,428.8,446.7,82.80%,68.8,60.9
03M403,The Global Learning Collaborative,428.3,441.9,75.50%,69.7,65.8
03M415,Wadleigh Secondary School for the Performing & Vis,440.7,472.9,75.30%,72.5,65.5
03M417,Frank Mccourt High School,523,529.5,96.60%,82,71.9
03M479,Beacon High School,593.1,616.2,100.00%,90.5,
03M485,Fiorello H. LaGuardia High School of Music & Art a,599.8,610.7,97.80%,92.6,86.7
03M492,"High School for Law, Advocacy and Community Justic",458.5,488.2,73.10%,73.2,67.5
03M494,High School of Arts and Technology,426.2,450.7,74.20%,67.1,61.9
03M541,Manhattan / Hunter Science High School,594.6,575.7,99.20%,92.4,85.7
03M859,Special Music School,565.2,572.9,98.00%,84.8,79.2
03M860,Frederick Douglass Academy II Secondary School,412.3,452.8,70.90%,65.9,60.1
04M372,Esperanza Preparatory Academy,417,423,72.50%,68.4,61.8
04M409,Coalition School for Social Change,409.7,438.3,68.40%,68.7,61.3
04M435,Manhattan Center for Science and Mathematics,582.2,551.8,96.00%,84.4,78
04M495,Park East High School,466.5,483.2,96.40%,80.7,75.9
04M555,Central Park East High School,532.4,531.6,97.30%,85,76.7
04M610,Young Women's Leadership School,517.7,528.6,100.00%,86.3,75.7
04M680,"Heritage School, The",440,447.7,72.70%,68.8,63
05M148,Eagle Academy for Young Men of Harlem,,,,,59.1
05M157,The Urban Assembly School for Global Commerce,416.2,423.5,75.00%,59.6,56
05M304,Mott Hall High School,441.1,447.5,66.00%,71.1,57.4
05M362,Columbia Secondary School,610.1,623.6,100.00%,87.4,73.5
05M367,Academy for Social Action,367.3,363.6,41.00%,50.5,59.1
05M369,Urban Assembly School for the Performing Arts,447,451.6,73.20%,72.2,61.1
05M499,Frederick Douglass Academy,502.3,503.8,82.00%,78.2,67.4
05M670,Thurgood Marshall Academy for Learning and Social,439,450.9,81.20%,71.8,65.3
05M692,"High School for Mathematics, Science and Engineeri",698.4,664.2,99.10%,93.6,91.7
06M211,Inwood Early College for Health and Information Te,,,,68.4,66.8
06M293,City College Academy of the Arts,518.7,503.5,97.40%,83.5,77.9
06M346,Community Health Academy of the Heights,454.5,469.1,79.00%,67.7,73.3
06M348,Washington Heights Expeditionary Learning School,450.3,453.2,77.30%,70.6,67.6
06M462,The College Academy,430.9,444.7,53.90%,55.8,62.1
06M463,High School for Media and Communications,434.4,457.4,46.20%,52.5,59.7
06M467,High School for Law and Public Service,435.1,463.7,73.40%,64,62.3
06M468,High School for Health Careers and Sciences,449.4,454.2,61.70%,63.3,60
06M540,A. Philip Randolph Campus High School,473.1,483,72.50%,75.5,73.3
06M552,Gregorio Luperon High School for Science and Mathe,474.2,465.9,69.20%,74.9,62.1
07X221,South Bronx Preparatory: A College Board School,464.9,464.3,96.20%,74.2,70.7
07X223,M.S. 223 The Laboratory School of Finance and Tech,460.1,450.9,92.20%,69.4,
07X259,"H.E.R.O. High (Health, Education, and Research Occ",449.3,467.4,71.60%,64.3,60.2
07X334,International Community High School,392.5,380,61.80%,60.3,
07X427,Community School for Social Justice,406.3,422.7,54.50%,60.7,
07X473,Mott Haven Village Preparatory High School,416.6,440.8,52.60%,67.6,62.2
